사번,논문연번,저자순위,저자명,역할,소속,참여율,교수본인,affiliation,val_aff
188017,349,1,대니쉬,공동(제1),인하대학교,50,,inside,valid
188017,349,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,354,1,아샤드 아프잘,공동(제1),Indiana Institute of Technology,20,,outside,valid
188017,354,2,김광용,공동(참여),인하대학교,20,Y,inside,valid
188017,354,3,Krishnamurthy Muralidhar,공동(참여),"Indian Institute of Technology, Kanpur",20,,outside,valid
188017,354,4,압두스 사마드,공동(참여),Indiana Institute of Technology,20,,outside,valid
188017,354,5,Ernesto Benini,공동(참여),University of Padova,20,,outside,valid
188017,355,1,대니쉬,공동(제1),인하대학교,50,,inside,valid
188017,355,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,356,1,김상훈,공동(제1),인하대학교,40,,inside,valid
188017,356,2,심현석,공동(참여),인하대학교,30,,inside,valid
188017,356,3,김광용,공동(교신),인하대학교,30,Y,inside,valid
188017,357,1,김준희,공동(제1),인하대학교,50,,inside,valid
188017,357,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,358,1,심현석,공동(제1),인하대학교,50,,inside,valid
188017,358,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,359,1,김준희,공동(제1),인하대학교,50,,inside,valid
188017,359,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,360,1,딩꽁쯔엉,공동(제1),인하대학교,50,,inside,valid
188017,360,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,361,1,Qing-jiang Xiang,공동(제1),인하대학교,25,,inside,valid
188017,361,2,Lin Xue,공동(참여),Jiangsu University,25,,outside,valid
188017,361,3,김광용,공동(참여),인하대학교,25,Y,inside,valid
188017,361,4,Zhe-fu Shi,공동(참여),Jiangsu University,25,,outside,valid
188017,362,1,김진혁,공동(제1),한국생산기술연구원,25,,outside,valid
188017,362,2,마상범,공동(참여),인하대학교,25,,inside,valid
188017,362,3,최영석,공동(참여),한국생산기술연구원,25,,outside,valid
188017,362,4,김광용,공동(참여),인하대학교,25,Y,inside,valid
188017,363,1,파힘,공동(제1),인하대학교,50,,inside,valid
188017,363,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,364,1,김진혁,공동(제1),한국생산기술연구원,20,,inside,invalid
188017,364,2,마상범,공동(참여),인하대학교,20,,inside,valid
188017,364,3,김성,공동(참여),한국생산기술연구원,20,,outside,valid
188017,364,4,최영석,공동(참여),한국생산기술연구원,20,,outside,valid
188017,364,5,김광용,공동(참여),인하대학교,20,Y,inside,valid
188017,365,1,라자와심,공동(제1),인하대학교,40,,inside,valid
188017,365,2,마상범,공동(참여),인하대학교,30,,inside,valid
188017,365,3,김광용,공동(교신),인하대학교,30,Y,inside,valid
188017,366,1,탄비르아마드,공동(제1),인하대학교,50,,inside,valid
188017,366,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,367,1,김윤성,공동(제1),인하대학교,40,,inside,valid
188017,367,2,김광용,공동(참여),인하대학교,30,Y,inside,valid
188017,367,3,허만웅,공동(교신),건설기계부품연구원,30,,outside,valid
188017,368,1,라자와심,공동(제1),인하대학교,50,,inside,valid
188017,368,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188017,369,1,아매드 앤사리,공동(제1),인하대학교,40,,outside,invalid
188017,369,2,김광용,공동(교신),인하대학교,30,Y,inside,valid
188017,369,3,김선민,공동(교신),인하대학교,30,,inside,valid
188017,370,1,김근배,공동(제1),인하대학교,40,,inside,valid
188017,370,2,마상범,공동(참여),인하대학교,30,,inside,valid
188017,370,3,김광용,공동(교신),인하대학교,30,Y,inside,valid
188017,371,1,김상혁,공동(제1),인하대학교,50,,inside,valid
188017,371,2,김광용,공동(교신),인하대학교,50,Y,inside,valid
188065,271,1,푸띠아라즈,공동(제1),인하대학교,0,,inside,valid
188065,271,2,김경수,공동(참여),전북대학교,0,,outside,valid
188065,271,3,안화승,공동(교신),인하대학교,0,Y,inside,valid
188065,274,1,장사천,공동(제1),인하대학교,0,,inside,valid
188065,274,2,시누라비,공동(참여),인하대학교,0,,inside,valid
188065,274,3,이유리,공동(참여),인하대학교,0,,inside,valid
188065,274,4,안지환,공동(참여),한국지질자원연구원,0,,outside,valid
188065,274,5,안화승,공동(교신),인하대학교,0,Y,inside,valid
188065,279,1,장사천,공동(제1),인하대학교,0,,unknown--,unknown
188065,279,2,Chao Chen,공동(참여),Guangdong University of Technology,0,,unknown--,unknown
188065,279,3,안화승,공동(교신),인하대학교,0,Y,unknown--,unknown
188065,280,1,임티즈,공동(제1),인하대학교,0,,inside,valid
188065,280,2,이유리,공동(참여),인하대학교,0,,inside,valid
188065,280,3,유광선,공동(참여),인하대학교,0,,inside,valid
188065,280,4,Samiran Bhattacharjee,공동(참여),University of Dhaka,0,,outside,valid
188065,280,5,안화승,공동(교신),인하대학교,0,Y,inside,valid
188065,281,1,Kowsalya Vellingiri,공동(제1),한양대학교,0,,outside,valid
188065,281,2,Ya-Xin Deng,공동(참여),Nuclear Power Institution of China,0,,outside,valid
188065,281,3,Ki-Hyun Kim,공동(참여),한양대학교,0,,outside,valid
188065,281,4,Jheng-Jie Jiang,공동(참여),Chung Yuan Christian University,0,,outside,valid
188065,281,5,Taejin Kim,공동(참여),Stony Brook University,0,,outside,valid
188065,281,6,Jin Shang,공동(참여),City University of Hong Kong,0,,outside,valid
188065,281,7,안화승,공동(참여),인하대학교,0,Y,inside,valid
188065,281,8,Deepak Kukkar,공동(참여),Sri Guru Granth Sahib World University,0,,outside,valid
188065,281,9,Danil W. Boukhvalov,공동(교신),Nanjing Forestry University,0,,outside,valid
188065,282,1,장사천,공동(제1),인하대학교,0,,inside,valid
188065,282,2,천영걸,공동(참여),인하대학교,0,,inside,valid
188065,282,3,안화승,공동(교신),인하대학교,0,Y,inside,valid
188065,283,1,Hubdar Ali Maitlo,공동(제1),한양대학교,0,,outside,valid
188065,283,2,Ki-Hyun Kim,공동(교신),한양대학교,0,,outside,valid
188065,283,3,Azmatullah Khan,공동(참여),한양대학교,0,,outside,valid
188065,283,4,Jan E. Szulejko,공동(참여),한양대학교,0,,outside,valid
188065,283,5,Jo Chun Kim,공동(참여),건국대학교,0,,outside,valid
188065,283,6,Hee Nam Song,공동(참여),"ACEN Co., Ltd",0,,outside,valid
188065,283,7,안화승,공동(참여),인하대학교,0,Y,inside,valid
188065,284,1,시누라비,공동(제1),인하대학교,0,,inside,valid
188065,284,2,푸띠아라즈,공동(참여),인하대학교,0,,inside,valid
188065,284,3,유광선,공동(참여),인하대학교,0,,inside,valid
188065,284,4,안화승,공동(교신),인하대학교,0,Y,inside,valid
188065,285,1,Imteaz Ahmed,공동(제1),인하대학교,0,,inside,valid
188065,285,2,Keshab Kumar Adhikary,공동(참여),인하대학교,0,,inside,valid
188065,285,3,이유리,공동(참여),인하대학교,0,,inside,valid
188065,285,4,노경호,공동(참여),인하대학교,0,,inside,valid
188065,285,5,강경구,공동(참여),충남대학교,0,,outside,valid
188065,285,6,안화승,공동(교신),인하대학교,0,Y,inside,valid
188065,286,1,푸띠아라즈,공동(제1),인하대학교,0,,inside,valid
188065,286,2,시누라비,공동(참여),인하대학교,0,,inside,valid
188065,286,3,유광선,공동(참여),인하대학교,0,,inside,valid
188065,286,4,안화승,공동(교신),인하대학교,0,Y,inside,valid
188065,287,1,푸띠아라즈,공동(제1),인하대학교,0,,inside,valid
188065,287,2,유광선,공동(참여),인하대학교,0,,inside,valid
188065,287,3,심상은,공동(참여),인하대학교,0,,inside,valid
188065,287,4,안화승,공동(교신),인하대학교,0,Y,inside,valid
188065,289,1,박민범,공동(제1),인천대학교,0,,outside,valid
188065,289,2,박은덕,공동(참여),아주대학교,0,,unknown--,unknown
