Title
"Acharya S, Adamová D, Adler A, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahn SU, Aiola S. Study of J/ψ azimuthal anisotropy at forward rapidity in Pb-Pb collisions at $$\sqrt {s_ {\mathrm {NN}}}= 5.02$$ TeV. Journal of high energy physics. 2019 Feb 1;2019(2):12."
"Acharya S, Adamová D, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahn SU, Aiola S, Akindinov A. Direct photon production at low transverse momentum in proton-proton collisions at s= 2.76 and 8 TeV. Physical Review C. 2019 Feb 21;99(2):024912."
"Acharya S, Torales-Acosta F, Adamová D, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahn SU, Aiola S. Dielectron and heavy-quark production in inelastic and high-multiplicity proton–proton collisions at s= 13TeV. Physics Letters B. 2019 Jan 10;788:505-18."
"Acharya S, Adamová D, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahn SU, Aiola S, Akindinov A. Suppression of Λ (1520) resonance production in central Pb-Pb collisions at s NN= 2.76 TeV. Physical Review C. 2019 Feb 8;99(2):024905."
"Acharya S, Acosta FT, Adamová D, Adhya SP, Adler A, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Ahammed Z, Ahmad S. Multiplicity dependence of (anti-) deuteron production in pp collisions at s= 7TeV. Physics Letters B. 2019 Jul 10;794:50-63."
"Collaboration A. pp, p-Lambda, and Lambda-Lambda correlations studied via femtoscopy in pp reactions at root s= 7 TeV. PHYSICAL REVIEW C Phys Rev C. 2019;99:024001."
"Acharya S, Adamová D, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahn SU, Aiola S, Akindinov A. Measurement of dielectron production in central Pb-Pb collisions at s NN= 2.76 TeV. Physical Review C. 2019 Feb 14;99(2):024002."
"Collaboration AL, Acharya S, Andrews HA, Evans D, Graham K, Jevons O, Jones P, Jusko A, Krivda M, Kvapil J, Lietava R. Event-Shape Engineering for the D-meson elliptic flow in mid-central Pb-Pb collisions at sNN= 5.02 TeV."
Collaboration A. Azimuthal Anisotropy of Heavy-Flavor Decay Electrons in p-Pb Collisions at root s (NN)= 5.02 TeV. PHYSICAL REVIEW LETTERS Phys Rev Lett. 2019;122:072301.
ALICE Collaboration. $\Upsilon $ suppression at forward rapidity in Pb-Pb collisions at $\sqrt {s_ {\rm NN}} $= 5.02 TeV. arXiv preprint arXiv:1805.04387. 2018 May 11.
"Acharya S, Torales-Acosta F, Adamová D, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahn SU, Aiola S. Centrality and pseudorapidity dependence of the charged-particle multiplicity density in Xe–Xe collisions at sNN= 5.44 TeV. Physics Letters B. 2019 Mar 10;790:35-48."
