사번,논문제목,게재년월,저자역할,val_title,val_rank,,
188017,Hotspot Analysis of Double-Layer Microchannel Heat Sinks,201910,corresponding author,valid,valid,,
188017,Optimization with Surrogate Models: Flow and Heat Transfer Applications,201902,공동,valid,valid,,
188017,Hotspot management using a hybrid heat sink with stepped pin-fins,201906,corresponding author,valid,valid,,
188017,부분 디퓨저 베인의 배열이 원심펌프의 수력성능에 미치는 영향,201904,corresponding author,unknown--,unknown--,,
188017,Performance evaluation of a converging-diverging film-cooling hole,201908,corresponding author,valid,valid,,
188017,Evaluation of Rotor-Stator Interface Models for the Prediction of the Hydraulic and Suction Performance of a Centrifugal Pump,201911,corresponding author,valid,valid,,
188017,Shape optimization of a bended film-cooling hole to enhance cooling effectiveness,201906,corresponding author,valid,valid,,
188017,Effects of Non-axisymmetric Casing Grooves Combined with Airflow Injection on Stability Enhancement of an Axial Compressor,201908,corresponding author,valid,valid,,
188017,Multi-objective optimization of a flow straightener in a large capacity firefighting water cannon,201902,공동,valid,valid,,
188017,Simultaneous optimization of impeller and volute of a single-channel pump for wastewater treatment,201904,공동,valid,valid,,
188017,Analysis of a Two-Layer Nozzle-and-Diffuser Electroosmotic Micromixer,201910,corresponding author,valid,valid,,
188017,Design and Verification of a Single-Channel Pump Model based on a Hybrid Optimization Technique,201910,공동,valid,valid,,
188017,Single and Multi-Objective Optimization of a Three-Dimensional Unbalanced Split-and-Recombine Micromixer,201910,corresponding author,valid,valid,,
188017,Effects of Bridge-Shaped Microchannel Geometry on the Performance of a Micro Laminar Flow Fuel Cell,201912,corresponding author,valid,valid,,
188017,Swept 임펠러를 갖는 수중축류펌프의 형상 변수가 수력학적 성능에 미치는 영향,201906,공동,unknown--,unknown--,,
188017,Asymmetrical Split-and-Recombine Micromixer with Baffles,201912,corresponding author,valid,valid,,
188017,Integrated vortex micro T-mixer for rapid mixing of fluids,201912,corresponding author,valid,valid,,
188017,벤츄리관 형상이 제트 믹서의 성능에 미치는 영향,201912,corresponding author,unknown--,unknown--,,
188017,Effects of Installation Conditions of Fluidic Oscillators on Control of Flow Separation,201912,corresponding author,unknown--,unknown--,,
188065,Catalytic transfer hydrogenation of bio-based furfural by palladium supported on nitrogen-doped porous carbon,201904,corresponding author,valid,valid,,
188065,Fly ash-derived mesoporous silica foams for CO2 capture and aqueous Nd3+ adsorption,201904,corresponding author,valid,valid,,
188065,Recent progress on CO<inf>2</inf> capture using amine-functionalized silica,201904,corresponding author,unknown--,unknown--,,
188065,Gd3+ Adsorption over Carboxylic- and Amino-Group Dual-Functionalized UiO-66,201901,corresponding author,unknown--,unknown--,,
188065,Amine-Functionalized Metal-Organic Frameworks and Covalent Organic Polymers as Potential Sorbents for Removal of Formaldehyde in Aqueous Phase: Experimental Versus Theoretical Study,201902,공동,valid,valid,,
188065,Catalytic dehydrogenation of formic acid over palladium nanoparticles immobilized on fibrous mesoporous silica KCC-1,201903,corresponding author,valid,valid,,
