key,evaluation,classification,title,code,journal,publisher,ISSN,date,author_count,author_rank,author_names
20031302AD5D94ECFF3B0052DB4C28750B1FD6EB0,국내공인학술지,국내공인등재후보,양력형 디스크 풍력 발전기의 유동 및 소음 해석,RC03286,한국가시화정보학회지,한국가시화정보학회,1598-8430,201801,4,제1저자,"나지성, 고승철, 이준상, 전유진"
20031302AD5D94ECFF3B0052DB4C28750B1FD6EB0,국제공인학술지,SCIE,Large eddy simulations of wind farm wake characteristics associated with a low level jet,EX06889,WIND ENERGY,JOHN WILEY & SONS LTD,1095-4244,201711,6,교신저자,"Ji Sung Na, Eunmo Koo, Emilia Kyung Jin, Rodman Linn, Seung Chul Ko, Domingo Munoz Esparza, Joon Sang Lee"
2003160038285BC4762FB850B353CA8C2B7B9A0DA,국제공인학술지,SSCI,Willingness to Provide Personal Information: Perspective of Privacy Calculus in IoT Services,SS00319,COMPUTERS IN HUMAN BEHAVIOR,PERGAMON-ELSEVIER SCIENCE LTD,0747-5632,201903,4,제1저자,"김동연, 박규홍, 박용진, 안재현"
20031600959B9092453E2B55725B45F10D8DF02B3,국내공인학술지,국내공인등재,중국의 식품산업발전과 정책적 함의,RD03119,현대중국연구,현대중국학회,1598-821X,201712,1,제1저자,유자영
20031602AD5D94ECFF3B0052DB4C28750B1FD6EB0,국제공인학술지,SSCI,Testing the Predictive Validity of the Hendrich II Fall Risk Model,SS01694,WESTERN JOURNAL OF NURSING RESEARCH,SAGE PUBLICATIONS INC,0193-9459,201812,2,제1저자,"Hyesil Jung, Hyeoun-Ae Park"
20031602EE3EA7D2547FDF46BDFB5A5F1AA2BCBD1,국제공인학술지,SSCI,Hierarchical value map of religious tourists visiting the Vatican City/Rome,SS02523,TOURISM GEOGRAPHIES,"JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN",1461-6688,201803,2,제1저자,Bona Kim & Sam Kim
20031602EE3EA7D2547FDF46BDFB5A5F1AA2BCBD1,국제수준학술지,SCOPUS,Investigating the impact of relationship quality during an internship on millennials’ career decisions and gender differences,SP21913,Journal of Hospitality and Tourism Education,Taylor and Francis Ltd.,1096-3758,201804,3,공동저자,"Cindy Heo, Sam Kim, & Bona Kim"
20031606E47633CFD63E61F429882DCAD5D446CB2,국내공인학술지,국내공인등재,The effects of olfactory cue on affective behaviors in digital content,RD03943,한국혁신학회지,한국혁신학회,2005-971X,201908,3,교신저자,"김소정, 이대호, 김홍범"
20031609A058EDFDE34633D8CF418ED8DC807D69C,국내공인학술지,국내공인등재,국내 제조기업의 경쟁력과 수출 : 대기업과 중소기업의 비교를 중심으로,RD02567,무역학회지,한국무역학회,1226-2765,201806,1,제1저자,이동주
20031703EF732A6C1E377A84FA5EC5F6E8F27F939,기타외국학술지,NULL,The Influence of Oral Dydrogesterone and Vaginal Progesterone on Threatened Abortion: a Systematic Review and Meta-analysis,Y      ,Hindawi Biomed Res Int,Hindawi,NULL,201712,5,교신저자,"Lee HJ, Park TC, Kim JH, Norwitz E, Lee B"
2003230B7F9CE69731F9103D0A140D403F20B30C7,국제공인학술지,SCIE,Aeroelastic Study for HART II Rotor Using Unstructured Mixed Meshes,EX11193,INTERNATIONAL JOURNAL OF AERONAUTICAL AND SPACE SCIENCES,"KOREAN SOC AERONAUTICAL & SPACE SCIENCES, 635-4, YEOGSAM-DONG, KANGNAM-KU, SEOULD, SOUTH KOREA, 135-7031.",2093-274X,201901,2,제1저자,"Youngjin Kim, Oh Joon Kwon"
20031302AD5D94ECFF3B0052DB4C28750B1FD6EB0,국내공인학술지,국내공인등재후보,양력형 디스크 풍력 발전기의 유동 및 소음 해석,RC03286,한국가시화정보학회지,한국가시화정보학회,1598-8430,201801,4,제1저자,"나지성, 고승철, 이준상, 전유진"
20031302AD5D94ECFF3B0052DB4C28750B1FD6EB0,국제공인학술지,SCI,Evaluation of the thermal and structural stability of planar anode-supported solid oxide fuel cells using a 10 x 10 cm2 single cell test,SC01665,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,PERGAMON-ELSEVIER SCIENCE LTD,0360-3199,201902,1,제1저자,전유진
20031302AD5D94ECFF3B0052DB4C28750B1FD6EB0,국제공인학술지,SCIE,Large eddy simulations of wind farm wake characteristics associated with a low level jet,EX06889,WIND ENERGY,JOHN WILEY & SONS LTD,1095-4244,201711,6,교신저자,"Ji Sung Na, Eunmo Koo, Emilia Kyung Jin, Rodman Linn, Seung Chul Ko, Domingo Munoz Esparza, Joon Sang Lee"
200313056DC3476F3B80D311F5EFEAED52A9ED6E6,국내공인학술지,국내공인등재,아동심리연구,RD02257,아동과 권리,한국아동권리학회,1226-5713,201703,3,제1저자,"이영미, 김태성, 문유진"
200313056DC3476F3B80D311F5EFEAED52A9ED6E6,국제공인학술지,SCI,발달심리,SC03826,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,MARY ANN LIEBERT INC PUBL,1044-5463,201803,1,제1저자,이영미
200313056DC3476F3B80D311F5EFEAED52A9ED6E6,국제공인학술지,SSCI,환경과 발달,SS02214,CHILD & FAMILY SOCIAL WORK,"BLACKWELL PUBLISHING, 9600 GARSINGTON RD, OXFORD, ENGLAND, OXON, OX4 2DQ",1356-7500,201903,4,제1저자,"이영미, 최영후, 안희선, 김태성"
2003160038285BC4762FB850B353CA8C2B7B9A0DA,국내공인학술지,국내공인등재후보,"Hey Host, Do Communicate with Guests: Empirical Evidence from Airbnb",RC03100,아태비즈니스연구,강원대학교 경영경제연구소,2233-5900,201809,5,공동저자,"주재현, 김동연, 류일한, 안재현, 방영석"
2003160038285BC4762FB850B353CA8C2B7B9A0DA,국내공인학술지,국내공인등재,사물인터넷 제품 지속사용의도에 미치는 기대가치 요인: 기대일치모형을 중심으로,RD00006,한국경영과학회지,한국경영과학회,1225-1119,201911,4,교신저자,"박규홍, 오민석, 안재현, 김동연"
2003160038285BC4762FB850B353CA8C2B7B9A0DA,국제공인학술지,SSCI,Willingness to Provide Personal Information: Perspective of Privacy Calculus in IoT Services,SS00319,COMPUTERS IN HUMAN BEHAVIOR,PERGAMON-ELSEVIER SCIENCE LTD,0747-5632,201903,4,제1저자,"김동연, 박규홍, 박용진, 안재현"
