키,논문제목,총저자수,저자역할,게재면,val_title,val_pages,val_rank
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Fate Analysis and Impact Assessment for Vehicle Polycyclic Aromatic Hydrocarbons (PAHs) Emitted from Metropolitan City Using Multimedia Fugacity Model,3,공동저자,479-495,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Hydrogen-based self-sustaining integrated renewable electricity network (HySIREN) using a supply-demand forecasting model and deep-learning algorithms,4,제1저자,353-367,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,A deep learning-based forecasting model for renewable energy scenarios to guide sustainable energy policy: A case study of Korea,3,제1저자,109725,valid,valid,invalid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Development of an integrated network for waste-to-energy and central utility systems considering air pollutant emissions pinch analysis,4,제1저자,119746,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Optimal network design of hydrogen production by integrated utility and biogas supply networks,3,제1저자,195-209,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Mathematical model to optimize design of integrated utility supply network and future global hydrogen supply network under demand uncertainty,3,제1저자,257-267,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Network modeling of future hydrogen production by combining conventional steam methane reforming and a cascade of waste biogas treatment processes und,3,제1저자,316-333,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Integrated hydrogen supply networks for waste biogas upgrading and hybrid carbon-hydrogen pinch analysis under hydrogen demand uncertainty,5,제1저자,386-397,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Sustainable and reliable design of reverse osmosis desalination with hybrid renewable energy systems through supply chain forecasting using recurrent,6,교신저자,277-292,valid,valid,invalid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Transitioning of localized renewable energy system towards sustainable hydrogen development planning: P-graph approach,5,교신저자,114635,valid,valid,invalid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Optimal Management of a Hybrid Renewable Energy System Coupled with a Membrane Bioreactor Using Enviro-Economic and Power Pinch Analyses for Sustainab,7,교신저자,66,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Gain scheduling based ventilation control with varying periodic indoor air quality (IAQ) dynamics for healthy IAQ and energy savings,4,공동저자,275-286,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,"A systematic approach of removal mechanisms, control and optimization of silver nanoparticle in wastewater treatment plants",6,공동저자,989-998,valid,valid,valid
2006150038285BC4762FB850B353CA8C2B7B9A0DA,Interpretation and diagnosis of fouling progress in membrane bioreactor plants using a periodic pattern recognition method,5,공동저자,2966-2977,valid,valid,valid
20061502AD5D94ECFF3B0052DB4C28750B1FD6EB0,유료 지식콘텐츠 플랫폼 발전 양상의 한중 비교,1,제1저자,241-270,valid,valid,valid
20061502AD5D94ECFF3B0052DB4C28750B1FD6EB0,온라인 디지털 캐릭터 경험이 오프라인 연관상품 구매의도에 미치는 영향에 관한 연구,1,제1저자,296-304,valid,valid,valid
20061502AD5D94ECFF3B0052DB4C28750B1FD6EB0,국내 스포츠관광 콘텐츠의 중국시장 진출에 대한 탐색적 연구,1,제1저자,789-802,valid,valid,valid
20061502AD5D94ECFF3B0052DB4C28750B1FD6EB0,e스포츠 상설경기장 서비스스케이프 요인별 중요도 연구,1,제1저자,131-144,valid,valid,valid
20061502AD5D94ECFF3B0052DB4C28750B1FD6EB0,중국 디지털 콘텐츠 슝추모(熊出沒)의 오프라인 확장 전략,1,제1저자,114-129,valid,valid,valid
2006150A40C79196CBF4F4D9169A974E2EF287A9C,Autophagy Caught in the Act: A Supramolecular FRET Pair Based on an Ultrastable Synthetic Host-Guest Complex Visualizes Autophagosome-Lysosome Fusion,8,교신저자,2120-2125,valid,valid,valid
2006150A40C79196CBF4F4D9169A974E2EF287A9C,Mono-allyloxylated Cucurbit[7]uril Acts as an Unconventional Amphiphile To Form Light-Responsive Vesicles,11,교신저자,3132-3136,valid,valid,valid
2006150A40C79196CBF4F4D9169A974E2EF287A9C,Supramolecular latching system based on ultrastable synthetic binding pairs as versatile tools for protein imaging,9,교신저자,1712,valid,valid,valid
2006150A40C79196CBF4F4D9169A974E2EF287A9C,Self-assembled adhesive biomaterials formed by a genetically designed fusion protein,10,교신저자,12642-12645,valid,valid,invalid
