영문명(추가),성명,제목,저자수,게재면,역할,val_title,val_pages,val_rank
Dongjae Kim,김동재,Employment of gold-coated silver nanowires as transparent conductive electrode for organic light emitting diodes,9,345201,공동저자,valid,valid,valid
Dongjae Kim,김동재,Healing of Microdefects in SSZ-13 Membranes via Filling with Dye Molecules and Its Effect on Dry and Wet CO2 Separations,9,3346-3358,공동저자,valid,valid,valid
Dongjae Kim,김동재,Systematic analysis for electrical conductivity of network of conducting rods by Kirchhoff's laws and block matrices,2,215104,제1저자,valid,valid,valid
Dongjae Kim,김동재,Quantitative elucidation of the elusive role of defects in polycrystalline MFI zeolite membranes on xylene separation performance,7,91-103,제1저자,valid,valid,invalid
Dongjae Kim,김동재,Chabazite-Type Zeolite Membranes for Effective CO2 Separation: The Role of Hydrophobicity and Defect Structure,11,3946-3960,공동저자,valid,valid,valid
Dongjae Kim,김동재,Image Segmentation for FIB-SEM Serial Sectioning of a Si/C?Graphite Composite Anode Microstructure Based on Preprocessing and Global Thresholding,7,1139-1154,제1저자,valid,valid,valid
Dongjae Kim,김동재,Electrical Conductivity Analysis for Networks of Conducting Rods Using a Block Matrix Approach: A Case Study under Junction Resistance Dominant Assump,2,986-996,제1저자,unknown--,unknown--,unknown--
Dongjae Kim,김동재,Method of analysing images of rod-like particles,2,US 2017/0140522 A1,공동,invalid (0.27),invalid,invalid
Dongjae Kim,김동재,엔트로피 기초 영상 분할 방법,2,1017570710000,공동,unknown--,unknown--,unknown--
Dongjae Kim,김동재,입자 배열 획득 방법 및 입자 배열 획득 장치,2,1019230340000,공동,unknown--,unknown--,unknown--
Soonho Hwangbo,황보순호,Mathematical model to optimize design of integrated utility supply network and future global hydrogen supply network under demand uncertainty,3,257-267,제1저자,valid,valid,valid
Soonho Hwangbo,황보순호,Optimal network design of hydrogen production by integrated utility and biogas supply networks,3,195-209,제1저자,valid,valid,valid
Soonho Hwangbo,황보순호,Network modeling of future hydrogen production by combining conventional steam methane reforming and a cascade of waste biogas treatment processes und,3,316-333,제1저자,unknown--,unknown--,unknown--
Soonho Hwangbo,황보순호,Integrated hydrogen supply networks for waste biogas upgrading and hybrid carbon-hydrogen pinch analysis under hydrogen demand uncertainty,5,386-397,제1저자,valid,valid,valid
Soonho Hwangbo,황보순호,Optimal Management of a Hybrid Renewable Energy System Coupled with a Membrane Bioreactor Using Enviro-Economic and Power Pinch Analyses for Sustainab,7,66,교신저자,unknown--,unknown--,unknown--
Soonho Hwangbo,황보순호,Hydrogen-based self-sustaining integrated renewable electricity network (HySIREN) using a supply-demand forecasting model and deep-learning algorithms,4,353-367,제1저자,valid,valid,valid
Soonho Hwangbo,황보순호,Sustainable and reliable design of reverse osmosis desalination with hybrid renewable energy systems through supply chain forecasting using recurrent,6,277-292,교신저자,valid,valid,invalid
Soonho Hwangbo,황보순호,Transitioning of localized renewable energy system towards sustainable hydrogen development planning: P-graph approach,5,114635,교신저자,valid,valid,invalid
Soonho Hwangbo,황보순호,A deep learning-based forecasting model for renewable energy scenarios to guide sustainable energy policy: A case study of Korea,3,109725,제1저자,valid,valid,invalid
Soonho Hwangbo,황보순호,Development of an integrated network for waste-to-energy and central utility systems considering air pollutant emissions pinch analysis,4,119746,제1저자,valid,valid,valid
Yongjin Lee,이용진,Molecular Dynamics Investigation of Thermal Conductivity of Ternary Silicon-Germanium-Tin Alloys,2,"50, 494001",제1저자,valid,invalid,valid
Yongjin Lee,이용진,High-throughput screening approach for nanoporous materials genome using topological data analysis: application to zeolites,6,"14, 4427",제1저자,valid,invalid,valid
Yongjin Lee,이용진,Generating carbon schwarzites via zeolite-templating”,8,"115, E8116",공동저자,valid,invalid,valid
Yongjin Lee,이용진,Understanding adsorption behavior of periodic mesoporous organosilica having heterogeneous chemical environment: selective coverage and interpenetrati,6,"123, 24884",제1저자,unknown--,unknown--,unknown--
Yongjin Lee,이용진,Machine Learning Prediction of Structural and Performance Properties of Nanoporous Materials,5,"59, 4636",교신저자,invalid (0.69),invalid,valid
Yongjin Lee,이용진,General Way to Construct Micro- and Mesoporous Metal-Organic Framework-Based Porous Liquids,7,"141, 19708",교신저자,valid,valid,valid
Yongjin Lee,이용진,Strong Thermal Conductivity Dependence on Arsenic-Vacancy Complex Formation in Arsenic-doped Silicon,2,"126, 195104",제1저자,valid,invalid,valid
Yongjin Lee,이용진,Machine Learning Enabled Tailor-Made Design of Application-Specific Metal Organic Frameworks,3,12734,교신저자,valid,invalid,valid
Yongjin Lee,이용진,Tuning Metal-Organic Framework Nanocrystal Shape through Facet-Dependent Coordination,9,"20, 1774",교신저자,valid,invalid,invalid
Yongjin Lee,이용진,A Computational Study to Design Zeolite-Templated Carbon Materials with High Performance for CO2/N2 Separation,4,"295, 109947",교신저자,valid,invalid,valid
Lee Suh-Young,이서영,Hypothetical daily operation model of fuel cycle in tritium plant,6,21-25,제1저자,valid,valid,valid
Lee Suh-Young,이서영,Optimal scheduling model to minimize tritium inventory level in fuel cycle of tritium plant,6,747-751,제1저자,valid,valid,valid
Lee Suh-Young,이서영,Optimal pump regeneration model for fuel cycle of ITER,7,2251-2254,제1저자,valid,valid,valid
Lee Suh-Young,이서영,Dynamic Modeling and Simulation of the Fuel Delivery Process Under Time-Varying Tokamak Fuel Demand,7,1046-1052,공동저자,valid,valid,valid
Lee Suh-Young,이서영,"Design under uncertainty of carbon capture, utilization and storage infrastructure considering profit, environmental impact, and risk preference",3,34-44,제1저자,valid,valid,valid
Lee Suh-Young,이서영,Mathematical Modeling and Simulation of Carbon Monoxide Absorption Column for Blast Furnace Gas and Linz-Donawitz Gas Separation by COSORB Process,4,439-446,교신저자,valid,valid,valid
Lee Suh-Young,이서영,Study of Alternative Reactor-Separator Network in Bunsen Process of Sulfur-Iodine Cycle for Hydrogen Production,3,638-349,공동저자,valid,invalid,valid
Lee Suh-Young,이서영,Mathematical modelling to minimize tritium inventory of the fuel cycle of ITER,7,351-357,제1저자,valid,valid,valid
Lee Suh-Young,이서영,"Optimal design under uncertainty of carbon capture, utilization, and sequestration network considering benefit, environmental impact, and preference o",3,1585-1590,제1저자,unknown--,unknown--,unknown--
