사번,연번,저서명(원어),저서형태,출판년월,출판사,val_title,val_저서형태,val_출판년월,val_출판사,val_author_number,val_main_author
188017,4,Design Optimization of Fluid Machinery,전체 - 초판,201904,ohn Wiley & Sons Singapore Pte. Ltd.,unknown,unknown,unknown,unknown,unknown,unknown 
189055,13,미래의 최고직업 바이오가 정답이다,전체 - 초판,201908,전파과학사,valid,valid,invalid,valid,valid,valid 
189061,59,일본어 구어역 마가복음의 언어학적 분석Ⅱ,전체 - 초판,201904,시간의물레,valid,valid,valid,valid,valid,valid 
189061,60,개정판 현대일본어 문법연구Ⅱ,전체 - 개정,201907,시간의물레,invalid (0.77),valid,valid,valid,valid,valid 
189061,61,일본어 구어역 마가복음의 언어학적 분석Ⅲ,전체 - 초판,201910,시간의물레,valid,valid,valid,valid,valid,valid 
189063,23,강한 인공지능과 인간 : 인간 강화와 인간 잉여의 패러독스,전체 - 초판,201911,글항아리,valid,valid,valid,valid,valid,valid 
190053,7,화학물질 취급관리 및 운영관리,전체 - 초판,201901,하이앤북,valid,valid,valid,valid,invalid,invalid 
190053,8,화학물질의 분류 및 독성저감,전체 - 초판,201901,하이앤북,valid,valid,valid,valid,invalid,invalid 
190059,15,식품화학,전체 - 초판,201908,교문사,valid,valid,valid,valid,valid,valid 
190088,2,고관절학,chapter - 개정,201911,군자출판사,valid,valid,valid,valid,invalid,invalid 
191062,27,대한민국 국가경쟁력강화를 위한 지방분권개헌,chapter - 초판,201903,한국지방자치학회,valid,valid,invalid,valid,invalid,valid 
191062,28,비교지방정부론,전체 - 초판,201907,대영문화사,valid,valid,valid,valid,valid,valid 
191068,20,지방자치란 무엇인가?,전체 - 초판,201904,윤성사,valid,valid,valid,valid,valid,valid 
191148,8,Algebraic Topology and Related Topics,전체 - 초판,201902,Birkhauser,unknown,unknown,unknown,unknown,unknown,unknown 
191179,7,Intelligent Video Surveillance,chapter - 초판,201905,IntechOpen,unknown,unknown,unknown,unknown,unknown,unknown 
193009,37,Stories my father told me: A Korean father's wisdom for his child (개정판),전체 - 개정,201905,Hollym International Corp,unknown,unknown,unknown,unknown,unknown,unknown 
193014,26,설악무산 그 흔적과 기억,전체 - 초판,201905,인북스,valid,valid,valid,valid,invalid,invalid 
193014,28,인류의 전쟁이 뒤바꾼 의학 세계사,전체 - 초판,201905,살림FRIENDS,valid,valid,valid,valid,valid,valid 
193014,29,힘든 삶 속에서도,전체 - 초판,201911,재남,valid,valid,valid,valid,invalid,invalid 
194029,2,위암과 위장관 질환,chapter - 개정,201908,군자 출판사,valid,valid,invalid,valid,invalid,invalid 
194049,4,주식 투자의 심리학 : 우리의 뇌는 주식투자를 잘하게 설계되어 있지 않다!,전체 - 초판,201904,지식과감성#,valid,valid,valid,valid,valid,valid 
195009,19,한국 산업기술 발전사,전체 - 초판,201904,한국공학한림원,valid,valid,valid,valid,invalid,invalid 
195012,27,바른 한국어 사용과 습득을 위하여,전체 - 초판,201912,제이앤씨,valid,valid,valid,valid,valid,valid 
195019,4,고관절학,chapter - 개정,201911,군자출판사,valid,valid,valid,valid,invalid,invalid 
195047,11,교육재정학탐구,전체 - 초판,201902,동아사,valid,valid,valid,valid,valid,valid 
195053,15,정신건강간호학,전체 - 초판,201902,현문사,valid,invalid,valid,valid,invalid,valid 
