사번,연번,저서종류,저서명(원어),저서명(타언어),챕터명,참여형태,출판사,출판사(영문),출판년월,개정년월,저서형태,ISNB
188017,4,연구학술저서,Design Optimization of Fluid Machinery,,,책임,ohn Wiley & Sons Singapore Pte. Ltd.,ohn Wiley & Sons Singapore Pte. Ltd.,201904,      ,전체 - 초판,978-1-119-18829-2
189055,13,연구학술저서,미래의 최고직업 바이오가 정답이다,,,책임,전파과학사,,201908,      ,전체 - 초판,978-89-7044-856-5
189061,59,연구학술저서,일본어 구어역 마가복음의 언어학적 분석Ⅱ,A Linguistic Anlaysis of the?Colloquial Japanese Version of the?Gospel of Mark Ⅱ,,책임,시간의물레,mulretime,201904,      ,전체 - 초판,978-89-6511-258-7(94
189061,60,연구학술저서,개정판 현대일본어 문법연구Ⅱ,A Study of modern Japanese Grammar 2,,공동,시간의물레,,201907,201907,전체 - 개정,978-89-6511-287-7
189061,61,연구학술저서,일본어 구어역 마가복음의 언어학적 분석Ⅲ,A Linguistic Anlaysis of the?Colloquial Japanese Version of the?Gospel of Mark Ⅲ,,책임,시간의물레,,201910,      ,전체 - 초판,978-89-6511-280-8(94
189063,23,연구학술저서,강한 인공지능과 인간 : 인간 강화와 인간 잉여의 패러독스,,,책임,글항아리,,201911,      ,전체 - 초판,9788967356828
190053,7,연구학술저서,화학물질 취급관리 및 운영관리,,,공동,하이앤북,,201901,      ,전체 - 초판,979-11-89568-05-4
190053,8,연구학술저서,화학물질의 분류 및 독성저감,,,공동,하이앤북,,201901,      ,전체 - 초판,979-11-89568-06-1
190059,15,연구학술저서,식품화학,,,공동,교문사,,201908,      ,전체 - 초판,978-89-363-1844-4(93
190088,2,연구학술저서,고관절학,,인공관절면,공동,군자출판사,,201911,201911,chapter - 개정,9791159555053
191062,27,연구학술저서,대한민국 국가경쟁력강화를 위한 지방분권개헌,Constitutional Reform on Dezentralization for national Competitiveness,국가와 지방정부간 입법권의 배분,책임,한국지방자치학회,KALGS,201903,      ,chapter - 초판,979-11-966331-0-3
191062,28,연구학술저서,비교지방정부론,Comparative Locak Government,,공동,대영문화사,,201907,      ,전체 - 초판,9788976447449
191068,20,교양학술저서,지방자치란 무엇인가?,,,책임,윤성사,,201904,      ,전체 - 초판,9791188836260
191148,8,편저서,Algebraic Topology and Related Topics,,,공동,Birkhauser,Birkhauser,201902,      ,전체 - 초판,978-981-13-5741-1
191179,7,연구학술저서,Intelligent Video Surveillance,,Real-Time Action Recognition Using Multi-level Action Descriptor and DNN,책임,IntechOpen,,201905,      ,chapter - 초판,https://www.intechop
193009,37,교양학술저서,Stories my father told me: A Korean father's wisdom for his child (개정판),,,책임,Hollym International Corp,,201905,201905,전체 - 개정,978-1-56591-493-3
193014,26,교양학술저서,설악무산 그 흔적과 기억,,,공동,인북스,,201905,      ,전체 - 초판,978-89-89449-68-3
193014,28,교양학술저서,인류의 전쟁이 뒤바꾼 의학 세계사,,,책임,살림FRIENDS,,201905,      ,전체 - 초판,978-89-522-4048-4
193014,29,교양학술저서,힘든 삶 속에서도,,,공동,재남,,201911,      ,전체 - 초판,979-11-88083-33-6
194029,2,연구학술저서,위암과 위장관 질환,,,공동,군자 출판사,,201908,201909,chapter - 개정,9791159554773
194049,4,연구학술저서,주식 투자의 심리학 : 우리의 뇌는 주식투자를 잘하게 설계되어 있지 않다!,,,책임,지식과감성#,,201904,      ,전체 - 초판,9791162755969
195009,19,기타저서,한국 산업기술 발전사,,,공동,한국공학한림원,,201904,      ,전체 - 초판,979-11-6212-033-0
195012,27,연구학술저서,바른 한국어 사용과 습득을 위하여,,,책임,제이앤씨,,201912,      ,전체 - 초판,9791159171499
195019,4,연구학술저서,고관절학,,,공동,군자출판사,,201911,201911,chapter - 개정,9791159555053
195047,11,연구학술저서,교육재정학탐구,,,책임,동아사,,201902,      ,전체 - 초판,979-11-966524-0-1
195053,15,연구학술저서,정신건강간호학,,,책임,현문사,,201902,      ,전체 - 초판,9791159899065
196002,10,연구학술저서,"Cellulose to nanocelluloses: Production, Properties and applications",,"Cellulose nanofiber, properties and applications",책임,NOVA Science,,201903,      ,전체 - 초판,978-1-53615-058-2
196002,11,연구학술저서,Re-use and recycling of materials: Solid Waste Management and Water Treatment,,"Waste Paper: A potential sources for cellulose nanofiber, and bio-nanocomposites applications",책임,River publisher,,201903,      ,전체 - 초판,9788770220583
196008,18,연구학술저서,바우하우스,,정시화를 통해 살펴본 한국 대학에서의 바우하우스 ,책임,안그라픽스,,201904,      ,chapter - 초판,9788970599946
196010,20,연구학술저서,아동생활지도와 상담,,,공동,양서원,,201901,      ,전체 - 초판,9788999408724
196010,21,연구학술저서,부모교육,,6. 일하는 부모의 자녀교육,공동,파워북,,201910,      ,chapter - 초판,9788981604028
196067,4,연구학술저서,슬관절학 3rd edition,,관절 연골 손상의 진단과 치료지침 ,책임,영창 출판사,,201905,      ,chapter - 초판,978-89-92676-72-4
197005,33,기타저서,녹색기후기술백서,,,공동,녹색기술센터,,201902,201902,전체 - 개정,11-1710000-000388-10
197019,8,연구학술저서,동서철학사상의 만남,,서학과의 접변 이전 동아시아 사상 관념의 맥락,공동,동과서,,201912,      ,chapter - 초판,978-89-6525-125-5
197019,9,연구학술저서,서학의 충격과 접변,,토미즘과 리학의 지평 접변-[영언여작]과 그에 대한 보수적 반응을 중심심으로,공동,동과서,,201912,      ,chapter - 초판,978-89-6525-126-2
197019,10,연구학술저서,동서사상의 회통,,류영모와 이중의 동서접변,공동,동과서,,201912,      ,chapter - 초판,978-89-6525-130-9
197019,11,연구학술저서,동서접변 연구의 평가와 전망,,실학 연구와 동서 접변,공동,동과서,,201912,      ,chapter - 초판,978-89-6525-131-6
197049,40,전문교재(대학수준),통계학의 개념 및 제문제,,,공동,KNOU Press(한국방송통신대학교출판문화원),,201901,201901,전체 - 개정,9788920031618
197049,41,1.2종도서,확률과 통계,,,공동,미래엔,,201903,      ,전체 - 초판,979-11-6233-872-8
198002,33,연구학술저서,强要罪의 本質과 暴行ㆍ脅迫,,,책임,시스템 출판사,,201909,      ,전체 - 초판,979-11-966938-0-0
199014,3,연구학술저서,신경손상학,,중증두부외상의 신경외과적 후유증,공동,군자출판사,,201905,201905,chapter - 개정,9791159554452
199027,31,연구학술저서,블록체인 거버넌스,,,책임,커뮤니케이션북스,,201905,      ,전체 - 초판,9791128800009
