,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal
0,Fate analysis and impact assessment for vehicle Polycyclic Aromatic Hydrocarbons (PAHs) emitted from metropolitan city using multimedia fugacity model,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.,Korean Institute of Chemical Engineers,"Rhee Gahee, Hwangbo Soonho, Yoo Changkyoo",479-495,Article,Korean Chemical Engineering Research
1,Hydrogen-based self-sustaining integrated renewable electricity network (HySIREN) using a supply-demand forecasting model and deep-learning algorithms,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.,Elsevier Ltd,"Hwangbo Soonho, Nam Kijeon, Heo Sungku, Yoo Changkyoo",353-367,Article,Energy Conversion and Management
2,A deep learning-based forecasting model for renewable energy scenarios to guide sustainable energy policy: A case study of Korea,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.,Elsevier Ltd,"Nam Kijeon, Hwangbo Soonho, Yoo Changkyoo",109725,Article,Renewable and Sustainable Energy Reviews
3,Development of an integrated network for waste-to-energy and central utility systems considering air pollutant emissions pinch analysis,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.,Elsevier Ltd,"Hwangbo Soonho, Sin G., Rhee Gahee, Yoo Changkyoo",119746,Article,Journal of Cleaner Production
4,Optimal network design of hydrogen production by integrated utility and biogas supply networks,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.,Elsevier Ltd,"Hwangbo Soonho, Lee Seungchul, Yoo Changkyoo",195-209,Article,Applied Energy
5,Mathematical model to optimize design of integrated utility supply network and future global hydrogen supply network under demand uncertainty,https://www.scopus.com/authid/detail.uri?authorId=55316276700&amp,Han J.,Elsevier Ltd,"Hwangbo Soonho, Lee Inbeum, Han Jeehoon",257-267,Article,Applied Energy
6,0,0,0,0,0,0,0,
7,Integrated hydrogen supply networks for waste biogas upgrading and hybrid carbon-hydrogen pinch analysis under hydrogen demand uncertainty,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.,Elsevier Ltd,"Hwangbo Soonho, Nam Kijeon, Han Jeehoon, Lee Inbeum, Yoo Changkyoo",386-397,Article,Applied Thermal Engineering
8,Sustainable and reliable design of reverse osmosis desalination with hybrid renewable energy systems through supply chain forecasting using recurrent neural networks,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.,Elsevier Ltd,"Li Qian, Loy-Benitez Jorge, Nam Kijeon, Hwangbo Soonho, Rashidi Jouan, Yoo Changkyoo",277-292,Article,Energy
9,Transitioning of localized renewable energy system towards sustainable hydrogen development planning: P-graph approach,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.K.,Elsevier Ltd,"Lim Juin Yau, How B. S., Rhee Gahee, Hwangbo Soonho, Yoo Changkyoo",114635,Article,Applied Energy
10,0,0,0,0,0,0,0,
11,Gain scheduling based ventilation control with varying periodic indoor air quality (IAQ) dynamics for healthy IAQ and energy savings,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.K.,Elsevier Ltd,"Lee Seungchul, Hwangbo Soonho, Kim Jeong Tai, Yoo Changkyoo",275-286,Article,Energy and Buildings
12,"A systematic approach of removal mechanisms, control and optimization of silver nanoparticle in wastewater treatment plants",https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.,Elsevier B.V.,"Vilela Paulina, Liu Hongbin, Lee Seungchul, Hwangbo Soonho, Nam Kijeon, Yoo Changkyoo",989-998,Article,Science of the Total Environment
13,Interpretation and diagnosis of fouling progress in membrane bioreactor plants using a periodic pattern recognition method,https://www.scopus.com/authid/detail.uri?authorId=7201746395&amp,Yoo C.K.,Springer New York LLC,"Nam Kijeon, Kim Minjeong, Lee Seungchul, Hwangbo Soonho, Yoo Changkyoo",2966-2977,Article,Korean Journal of Chemical Engineering
14,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,
19,Autophagy Caught in the Act: A Supramolecular FRET Pair Based on an Ultrastable Synthetic Host–Guest Complex Visualizes Autophagosome–Lysosome Fusion,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Park K.M.,Wiley-VCH Verlag,"Li Meng, Lee Ara, Kim Kyung-lock, Murray James, Shrinidhi Annadka, Sung Gihyun, Park Kyengmin, Kim Kimoon",2120-2125,Article,Angewandte Chemie - International Edition
20,Mono-allyloxylated Cucurbit[7]uril Acts as an Unconventional Amphiphile To Form Light-Responsive Vesicles,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Park K.M.,Wiley-VCH Verlag,"Park Kyengmin, Baek Kangkyun, Ko Young-ho, Shrinidhi Annadka, Murray James, Jang Won-hyuk, Kim Kihean, Lee Jun Seok, Yoo Jejoong, Kim Sungwan, Kim Kimoon",3132-3136,Article,Angewandte Chemie - International Edition
21,Supramolecular latching system based on ultrastable synthetic binding pairs as versatile tools for protein imaging,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Park K.M.,Nature Publishing Group,"Kim Kyung-lock, Sung Gihyun, Sim Jaehwan, Murray James, Li Meng, Lee Ara, Shrinidhi Annadka, Park Kyengmin, Kim Kimoon",1712,Article,Nature CommunicationsOpen Access
22,Self-assembled adhesive biomaterials formed by a genetically designed fusion protein,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Cha H.J.,Royal Society of Chemistry,"Aich Pulakesh, An Jaeyeon, Yang Byeongseon, Ko Young-ho, Kim Junghyun, Murray James, Cha Hyungjoon, Roh Joon-ho, Park Kyengmin, Kim Kimoon",12642-12645,Article,Chemical Communications
23,Cucurbit[7]uril-conjugated dyes as live cell imaging probes: Investigation on their cellular uptake and excretion pathways,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Copyright 2019 Elsevier B.V. All rights reserved.,Royal Society of Chemistry,"Li Meng, Lee Ara, Kim Sungwan, Shrinidhi Annadka, Park Kyengmin, Kim Kimoon",6215-6220,Article,Organic and Biomolecular Chemistry
24,Cucurbit[: N] uril-based amphiphiles that self-assemble into functional nanomaterials for therapeutics,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Park K.M.,Royal Society of Chemistry,"Park Kyengmin, Hur Moon-young, Ghosh Suman Kr, Boraste Deepak Ramdas, Kim Sungwan, Kim Kimoon",10654-10664,Article,Chemical Communications
25,Superacid-Mediated Functionalization of Hydroxylated Cucurbit[ n]urils,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Lee E.,American Chemical Society,"Ghosh Suman Kr, Dhamija Avinash, Ko Young-ho, An Jaeyeon, Hur Moon-young, Boraste Deepak Ramdas, Seo Jongcheol, Lee Eungsung, Park Kyengmin, Kim Kimoon",17503-17506,Article,Journal of the American Chemical Society
26,Bio-orthogonal Supramolecular Latching inside Live Animals and Its Application for in Vivo Cancer Imaging,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Park K.M.,American Chemical Society,"Li Meng, Kim Sungwan, Lee Ara, Shrinidhi Annadka, Ko Young-ho, Lim Hae Gyun, Kim Hyung Ham, Bae Ki-beom, Park Kyengmin, Kim Kimoon",43920-43927,Article,ACS Applied Materials and Interfaces
27,Supra-blot: An accurate and reliable assay for detecting target proteins with a synthetic host molecule-enzyme hybrid,https://www.scopus.com/authid/detail.uri?authorId=15121037600&amp,Rhee H.-W.,Royal Society of Chemistry,"Sung Gihyun, Lee Song-yi, Kang Myeong-gyun, Kim Kyung-lock, An Jaeyeon, Sim Jaehwan, Kim Sungwan, Kim Seungjoon, Ko Jaewon, Rhee Hyunwoo, Park Kyengmin, Kim Kimoon",1549-1552,Article,Chemical Communications
