,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,
0,Fate Analysis and Impact Assessment for Vehicle Polycyclic Aromatic Hydrocarbons (PAHs) Emitted from Metropolitan City Using Multimedia Fugacity Model,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=1&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Yoo C,"KOREAN INSTITUTE CHEMICAL ENGINEERS, F.5, 119, ANAM-RO, SEONGBUK-GU, SEOUL 136-075, SOUTH KOREA","Rhee Gahee, Hwangbo Soonho, Yoo ChangKyoo",479-495,Article,KOREAN CHEMICAL ENGINEERING RESEARCH,
1,Hydrogen-based self-sustaining integrated renewable electricity network (HySIREN) using a supply-demand forecasting model and deep-learning algorithms,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=3&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Yoo C,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Hwangbo Soonho, Nam KiJeon, Heo SungKu, Yoo ChangKyoo",353-367,Article,ENERGY CONVERSION AND MANAGEMENT,
2,A deep learning-based forecasting model for renewable energy scenarios to guide sustainable energy policy: A case study of Korea,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=6&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Yoo C,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Nam KiJeon, Hwangbo Soonho, Yoo ChangKyoo",109725,Article,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,
3,Development of an integrated network for waste-to-energy and central utility systems considering air pollutant emissions pinch analysis,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=9&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Yoo C,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Hwangbo Soonho, Sin Gurkan, Rhee Gahee, Yoo ChangKyoo",119746,Article,JOURNAL OF CLEANER PRODUCTION,
4,Optimal network design of hydrogen production by integrated utility and biogas supply networks,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=12&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Yoo C,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Hwangbo Soonho, Lee Seungchul, Yoo Changkyoo",195-209,Article,APPLIED ENERGY,
5,Mathematical model to optimize design of integrated utility supply network and future global hydrogen supply network under demand uncertainty,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=15&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Han J,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Hwangbo Soonho, Lee In-Beum, Han Jeehoon",257-267,Article,APPLIED ENERGY,
6,0,0,0,0,0,0,0,0,
7,Integrated hydrogen supply networks for waste biogas upgrading and hybrid carbon-hydrogen pinch analysis under hydrogen demand uncertainty,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=19&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Yoo C,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Hwangbo Soonho, Nam KiJeon, Han Jeehoon, Lee In-Beum, Yoo ChangKyoo",386-397,Article,APPLIED THERMAL ENGINEERING,
8,Sustainable and reliable design of reverse osmosis desalination with hybrid renewable energy systems through supply chain forecasting using recurrent neural networks,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=22&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Yoo C,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Li Qian, Loy-Benitez Jorge, Nam KiJeon, Hwangbo Soonho, Rashidi Jouan, Yoo ChangKyoo",277-292,Article,ENERGY,
9,Transitioning of localized renewable energy system towards sustainable hydrogen development planning: P-graph approach,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=25&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,"Hwangbo S, Yoo CK","ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Lim Juin Yau, How Bing Shen, Rhee Gahee, Hwangbo Soonho, Yoo Chang Kyoo",114635,Article,APPLIED ENERGY,
