,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
0,0,0,0,0,0,0,0,0,0,,0
1,0,0,0,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,0,0,0,,0
3,"부분 디퓨저 베인의 배열이 원심펌프의 수력성능에 미치는 영향
Effects of Arrangement of the Partial Diffuser Vanes on the Hydraulic Performance of a Centrifugal Pump",0,김광용 /Kwang-Yong Kim,: 한국유체기계학회,"김상훈 /SANGHOON KIM, 심현석 /Hyeon-Seok Shim",5-13,0,한국유체기계학회 논문집,2019.04,,1
4,0,0,0,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,0,0,0,,0
9,Simultaneous Optimization of Impeller and Volute of a Single-channel Pump for Wastewater Treatment,0,김진혁 /Kim Jin Hyuk,: 한국유체기계학회,"마상범 /Sang-Bum Ma, 최영석 /Youngseok Choi, 김광용 /Kwang-Yong Kim",99-108,0,International Journal of Fluid Machinery and Systems,2019.06,,1
10,0,0,0,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,0,0,0,,0
14,"Swept 임펠러를 갖는 수중축류펌프의 형상 변수가 수력학적 성능에 미치는 영향
Effects of Geometric Parameters on Hydraulic Performance of a Submersible Axial Flow Pump with Swept Impeller",0,허만웅,: 한국유체기계학회,"김윤성 /Kim YuneSung, 김광용 /Kwang-Yong Kim",19-27,0,한국유체기계학회 논문집,2019.06,,1
15,0,0,0,0,0,0,0,0,0,,0
16,Integrated vortex micro T-mixer for rapid mixing of fluids,0,"김광용 /Kwang-Yong Kim, 김선민 /Sun Min Kim",: 대한기계학회,Mubashshir Ahmad Ansari,5923-5931,0,Journal of Mechanical Science and Technology,2019.12,,1
17,"벤츄리관 형상이 제트 믹서의 성능에 미치는 영향
Effects of Venturi Pipe Shape on Performance of a Jet Mixer",0,김광용 /Kwang-Yong Kim,: 한국유체기계학회,"김근배, 마상범 /Sang-Bum Ma",14-21,0,한국유체기계학회 논문집,2019.12,,1
18,0,0,0,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,0,0,0,,0
