,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,scopus,wos,kci,sum
0,Hotspot Analysis of Double-Layer Microchannel Heat Sinks,0,Kim K.-Y.,Taylor and Francis Ltd.,"Ansari Danish, Kim Kwang-yong",1221-1238,Article,Heat Transfer Engineering,14-Sep-19,,1,1,0,1
1,Optimization with Surrogate Models: Flow and Heat Transfer Applications(Editorial),0,Afzal A.,Hindawi Limited,"Afzal Arshad, Kim Kwang-yong, Muralidhar Krishnamurthy, Samad Abdus, Benini Ernesto",7194257,Editorial,Mathematical Problems in EngineeringOpen Access,2019,,1,1,0,1
2,Hotspot management using a hybrid heat sink with stepped pin-fins,0,Kim K.-Y.,Taylor and Francis Ltd.,"Ansari Danish, Kim Kwang-yong",359-380,Article,Numerical Heat Transfer,19-Mar-19,,1,1,0,1
3,0,0,0,0,0,0,0,0,0,,0,0,1,1
4,Performance evaluation of a converging-diverging film-cooling hole,0,Kim K.-Y.,Elsevier Masson SAS,"Kim Jun-hee, Kim Kwang-yong",295-304,Article,International Journal of Thermal Sciences,Aug-19,,1,1,0,1
5,Evaluation of Rotor-Stator Interface Models for the Prediction of the Hydraulic and Suction Performance of a Centrifugal Pump,0,Kim K.-Y.,American Society of Mechanical Engineers (ASME),"Shim Hyeon-seok, Kim Kwang-yong",111106,Article,"Journal of Fluids Engineering, Transactions of the ASME",01-Nov-19,,1,1,0,1
6,Shape optimization of a bended film-cooling hole to enhance cooling effectiveness,0,Kim K.-Y.,Japan Society of Mechanical Engineers,"Kim Jun-hee, Kim Kwang-yong",19-00110,Article,Journal of Thermal Science and Technology,2019,,1,1,0,1
7,Effects of Non-axisymmetric Casing Grooves Combined with Airflow Injection on Stability Enhancement of an Axial Compressor,0,Kim K.Y.,De Gruyter,"Dinh Cong Truong, Kim Kwang-yong",283-296,Article,International Journal of Turbo and Jet Engines,01-Aug-19,,1,1,0,1
8,Multi-objective optimization of a flow straightener in a large capacity firefighting water cannon,0,Xiang Q.-J.,Springer International Publishing,"Xiang Qingjiang, Xue Lin, Kim Kwang-yong, Shi Zhefu",137-144,Article,Journal of Hydrodynamics,01-Feb-19,,1,1,0,1
9,Simultaneous optimization of impeller and volute of a single-channel pump for wastewater treatment,0,Kim J.-H.,Turbomachinery Society of Japan,"Kim Jin-hyuk, Ma Sang-bum, Choi Youngseok, Kim Kwang-yong",99-108,Article,International Journal of Fluid Machinery and Systems,Article number O19032S,,1,0,1,1
10,Analysis of a Two-Layer Nozzle-and-Diffuser Electroosmotic Micromixer,0,Kim K.-Y.,Wiley-VCH Verlag,"Ahmed Faheem, Kim Kwang-yong",2164-2170,Article,Chemical Engineering and Technology,01-Oct-19,,1,1,0,1
