,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title,0
0,0,188017,349,Hotspot Analysis of Double-Layer Microchannel Heat Sinks,Kim K.-Y.,Taylor and Francis Ltd.,"Ansari Danish, Kim Kwang-yong",1221-1238,Article,Heat Transfer Engineering,14 September 2019,"Ansari Danish[Pusan National University], Kim Kwang-yong[Inha University]",valid,0
1,1,188017,354,Optimization with Surrogate Models: Flow and Heat Transfer Applications(Editorial),Afzal A.,Hindawi Limited,"Afzal Arshad, Kim Kwang-yong, Muralidhar Krishnamurthy, Samad Abdus, Benini Ernesto",7194257,Editorial,Mathematical Problems in EngineeringOpen Access,2019,"Afzal Arshad[Indian Institute of Technology Kanpur], Kim Kwang-yong[Inha University], Muralidhar Krishnamurthy[Indian Institute of Technology Kanpur], Samad Abdus[Indian Institute of Technology Madras], Benini Ernesto[Università degli Studi di Padova]",valid,0
2,2,188017,355,Hotspot management using a hybrid heat sink with stepped pin-fins,Kim K.-Y.,Taylor and Francis Ltd.,"Ansari Danish, Kim Kwang-yong",359-380,Article,Numerical Heat Transfer; Part A: Applications,19 March 2019,"Ansari Danish[Pusan National University], Kim Kwang-yong[Inha University]",valid,0
3,3,188017,356,0,0,0,0,0,0,0,0,0,unknown--,0
4,4,188017,357,Performance evaluation of a converging-diverging film-cooling hole,Kim K.-Y.,Elsevier Masson SAS,"Kim Jun-hee, Kim Kwang-yong",295-304,Article,International Journal of Thermal Sciences,August 2019,"Kim Jun-hee[Inha University], Kim Kwang-yong[Inha University]",valid,0
5,5,188017,358,Evaluation of Rotor-Stator Interface Models for the Prediction of the Hydraulic and Suction Performance of a Centrifugal Pump,Kim K.-Y.,American Society of Mechanical Engineers (ASME),"Shim Hyeon-seok, Kim Kwang-yong",111106,Article,"Journal of Fluids Engineering, Transactions of the ASME",1 November 2019,"Shim Hyeon-seok[Inha University], Kim Kwang-yong[Inha University]",valid,0
6,6,188017,359,Shape optimization of a bended film-cooling hole to enhance cooling effectiveness,Kim K.-Y.,Japan Society of Mechanical Engineers,"Kim Jun-hee, Kim Kwang-yong",19-00110,Article,Journal of Thermal Science and Technology,2019,"Kim Jun-hee[Inha University], Kim Kwang-yong[Inha University]",valid,0
7,7,188017,360,Effects of Non-axisymmetric Casing Grooves Combined with Airflow Injection on Stability Enhancement of an Axial Compressor,Kim K.Y.,De Gruyter,"Dinh Cong Truong, Kim Kwang-yong",283-296,Article,International Journal of Turbo and Jet Engines,1 August 2019,"Dinh Cong Truong[Hanoi University of Science and Technology], Kim Kwang-yong[Inha University]",valid,0
8,8,188017,361,Multi-objective optimization of a flow straightener in a large capacity firefighting water cannon,Xiang Q.-J.,Springer International Publishing,"Xiang Qingjiang, Xue Lin, Kim Kwang-yong, Shi Zhefu",137-144,Article,Journal of Hydrodynamics,1 February 2019,"Xiang Qingjiang[Xihua University], Xue Lin[Jiangsu University], Kim Kwang-yong[Inha University], Shi Zhefu[Jiangsu University]",valid,0
9,9,188017,362,Simultaneous optimization of impeller and volute of a single-channel pump for wastewater treatment,Kim J.-H.,Turbomachinery Society of Japan,"Kim Jin-hyuk, Ma Sang-bum, Choi Youngseok, Kim Kwang-yong",99-108,Article,International Journal of Fluid Machinery and Systems,Article number O19032S,"Kim Jin-hyuk[University of Science and Technology (UST)], Ma Sang-bum[Inha University], Choi Youngseok[University of Science and Technology (UST)], Kim Kwang-yong[Inha University]",valid,0
10,10,188017,363,Analysis of a Two-Layer Nozzle-and-Diffuser Electroosmotic Micromixer,Kim K.-Y.,Wiley-VCH Verlag,"Ahmed Faheem, Kim Kwang-yong",2164-2170,Article,Chemical Engineering and Technology,1 October 2019,"Ahmed Faheem[Inha University], Kim Kwang-yong[Inha University]",valid,0
11,11,188017,364,Design and verification of a single-channel pump model based on a hybrid optimization technique,Kim J.-H.,MDPI AG,"Kim Jin-hyuk, Ma Sang-bum, Kim Sung, Choi Youngseok, Kim Kwang-yong",747,Article,ProcessesOpen Access,2019,"Kim Jin-hyuk[University of Science and Technology (UST)], Ma Sang-bum[Inha University], Kim Sung[Korea Institute of Industrial Technology Evaluation and Planning], Choi Youngseok[University of Science and Technology (UST)], Kim Kwang-yong[Inha University]",valid,0
12,12,188017,365,Single and multi-objective optimization of a three-dimensional unbalanced split-and-recombine micromixer,Kim K.-Y.,MDPI AG,"Raza Wasim, Ma Sang-bum, Kim Kwang-yong",711,Article,MicromachinesOpen Access,1 October 2019,"Raza Wasim[Inha University], Ma Sang-bum[Inha University], Kim Kwang-yong[Inha University]",valid,0
13,13,188017,366,Effects of bridge-shaped microchannel geometry on the performance of a micro laminar flow fuel cell,Kim K.-Y.,MDPI AG,"Tanveer Muhammad, Kim Kwang-yong",822,Article,MicromachinesOpen Access,1 December 2019,"Tanveer Muhammad[Inha University], Kim Kwang-yong[Inha University]",valid,0
14,14,188017,367,0,0,0,0,0,0,0,0,0,unknown--,0
15,15,188017,368,Asymmetrical split-and-recombine micromixer with baffles,Kim K.-Y.,MDPI AG,"Raza Wasim, Kim Kwang-yong",844,Article,MicromachinesOpen Access,1 December 2019,"Raza Wasim[Inha University], Kim Kwang-yong[Inha University]",valid,0
16,16,188017,369,Integrated vortex micro T-mixer for rapid mixing of fluids,Kim K.-Y.,Korean Society of Mechanical Engineers,"Ansari Mubashshir Ahmad, Kim Kwang-yong, Min Sun",5923-5931,Article,Journal of Mechanical Science and Technology,1 December 2019,"Ansari Mubashshir Ahmad[Aligarh Muslim University], Kim Kwang-yong[Inha University], Min Sun[Inha University]",valid,0
17,17,188017,370,0,0,0,0,0,0,0,0,0,unknown--,0
18,18,188017,371,0,0,0,0,0,0,0,0,0,unknown--,0
19,19,188065,271,Catalytic transfer hydrogenation of bio-based furfural by palladium supported on nitrogen-doped porous carbon,Ahn W.-S.,Elsevier B.V.,"Puthiaraj Pillaiyar, Kim Kyoungsoo, Ahn Whaseung",49-58,Article,Catalysis Today,1 March 2019,"Puthiaraj Pillaiyar[Inha University], Kim Kyoungsoo[Jeonbuk National University], Ahn Whaseung[Inha University]",valid,0
20,20,188065,274,Fly ash-derived mesoporous silica foams for CO2 capture and aqueous Nd3+ adsorption,Ahn W.-S.,Korean Society of Industrial Engineering Chemistry,"Zhang Siqian, Ravi Seenu, Lee Yuri, Ahn Jiwhan, Ahn Whaseung",241-249,Article,Journal of Industrial and Engineering Chemistry,25 April 2019,"Zhang Siqian[Inha University], Ravi Seenu[Seoul National University], Lee Yuri[Korea Institute of Science and Technology], Ahn Jiwhan[Korea Institute of Geoscience and Mineral Resources], Ahn Whaseung[Inha University]",valid,0
21,21,188065,279,0,0,0,0,0,0,0,0,0,unknown--,0
22,22,188065,280,0,0,0,0,0,0,0,0,0,unknown--,0
23,23,188065,281,Amine-Functionalized Metal-Organic Frameworks and Covalent Organic Polymers as Potential Sorbents for Removal of Formaldehyde in Aqueous Phase: Experimental Versus Theoretical Study,Kim K.-H.,American Chemical Society,"Vellingiri Kowsalya, Deng Yaxin, Kim Ki Hyun, Jiang Jheng-Jie, Kim Taejin, Shang Jin, Ahn Whaseung, Kukkar Deepak, Boukhvalov Danil W.",1426-1439,Article,ACS Applied Materials and Interfaces,9 January 2019,"Vellingiri Kowsalya[Indian Institute of Technology Madras], Deng Yaxin[610213 China], Kim Ki Hyun[Hanyang University], Jiang Jheng-Jie[Chung Yuan Christian University], Kim Taejin[Stony Brook University], Shang Jin[City University of Hong Kong], Ahn Whaseung[Inha University], Kukkar Deepak[Sri Guru Granth Sahib World University], Boukhvalov Danil W.[Institute of Physics and Technology]",valid,0
24,24,188065,282,Catalytic dehydrogenation of formic acid over palladium nanoparticles immobilized on fibrous mesoporous silica KCC-1,Ahn W.-S.,Science Press,"Zhang Siqian, Qian Yingjie, Ahn Whaseung",1704-1712,Article,Chinese Journal of Catalysis,November 2019,"Zhang Siqian[Inha University], Qian Yingjie[Inha University], Ahn Whaseung[Inha University]",valid,0
25,25,188065,283,Competitive adsorption of gaseous aromatic hydrocarbons in a binary mixture on nanoporous covalent organic polymers at various partial pressures,Kim K.-H.,Academic Press Inc.,"Maitlo Hubdar Ali, Kim Ki Hyun, Khan Azmatullah, Szulejko Jan E., Kim Jo-chun, Song Hee-nam, Ahn Whaseung",1-11,Article,Environmental Research,June 2019,"Maitlo Hubdar Ali[Dawood University of Engineering & Technology (DUET)], Kim Ki Hyun[Hanyang University], Khan Azmatullah[BUITEMS - Balochistan University of Information Technology], Szulejko Jan E.[Hanyang University], Kim Jo-chun[Konkuk University], Song Hee-nam[ACEN Co.], Ahn Whaseung[Inha University]",valid,0
