,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
0,Performance Analysis of Double-Layer Microchannel Heat Sinks under Non-Uniform Heating Conditions with Random Hotspots,0,Kim KY,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Ansari Danish, Kim Kwang-Yong",54,Article,MICROMACHINES,Feb-17,,1
1,Optimization with Surrogate Models: Flow and Heat Transfer Applications,0,Afzal A,"HINDAWI LTD, ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND","Afzal Arshad, Kim Kwang-Yong, Muralidhar Krishnamurthy, Samad Abdus, Benini Ernesto",7194257,Editorial Material,MATHEMATICAL PROBLEMS IN ENGINEERING,2019,,1
2,Hotspot management using a hybrid heat sink with stepped pin-fins,0,Kim KY,"TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","Ansari Danish, Kim Kwang-Yong",359-380,Article,NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,MAR 19 2019,,1
3,0,0,0,0,0,0,0,0,0,,0
4,Performance evaluation of a converging-diverging film-cooling hole,0,Kim KY,"ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER, 65 RUE CAMILLE DESMOULINS, CS50083, 92442 ISSY-LES-MOULINEAUX, FRANCE","Kim Jun-Hee, Kim Kwang-Yong",295-304,Article,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,Aug-19,,1
5,Evaluation of Rotor-Stator Interface Models for the Prediction of the Hydraulic and Suction Performance of a Centrifugal Pump,0,Kim KY,"ASME, TWO PARK AVE, NEW YORK, NY 10016-5990 USA","Shim Hyeon-Seok, Kim Kwang-Yong",111106,Article,JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,Nov-19,,1
6,Shape optimization of a bended film-cooling hole to enhance cooling effectiveness,0,Kim KY,"JAPAN SOC MECHANICAL ENGINEERS, SHINANOMACHI-RENGAKAN BLDG., SHINANOMACHI 35, SHINJUKU-KU, TOKYO, 160-0016, JAPAN","Kim Jun-Hee, Kim Kwang-Yong",19-110,Article,JOURNAL OF THERMAL SCIENCE AND TECHNOLOGY,2019,,1
7,Effects of Non-axisymmetric Casing Grooves Combined with Airflow Injection on Stability Enhancement of an Axial Compressor,0,Kim KY,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY","Dinh C. T., Kim K. Y.",283-296,Article,INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,Aug-19,,1
8,Multi-objective optimization of a flow straightener in a large capacity firefighting water cannon,0,Xiang QJ,"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA","Xiang Qing-jiang, Xue Lin, Kim Kwang-Yong, Shi Zhe-fu",137-144,Article,JOURNAL OF HYDRODYNAMICS,Feb-19,,1
9,0,0,0,0,0,0,0,0,0,,0
