,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title
0,0,188017,349,Performance Analysis of Double-Layer Microchannel Heat Sinks under Non-Uniform Heating Conditions with Random Hotspots,Kim KY(corresponding author),"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Ansari Danish, Kim Kwang-Yong",54,Article,MICROMACHINES,FEB 2017,"Ansari Danish[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
1,1,188017,354,Optimization with Surrogate Models: Flow and Heat Transfer Applications,Afzal A(corresponding author),"HINDAWI LTD, ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND","Afzal Arshad, Kim Kwang-Yong, Muralidhar Krishnamurthy, Samad Abdus, Benini Ernesto",7194257,Editorial Material,MATHEMATICAL PROBLEMS IN ENGINEERING,2019,"Afzal Arshad[Indian Inst Technol Kanpur], Kim Kwang-Yong[Inha Univ], Muralidhar Krishnamurthy[Indian Inst Technol Kanpur], Samad Abdus[Indian Inst Technol Madras], Benini Ernesto[Univ Padua]",valid
2,2,188017,355,Hotspot management using a hybrid heat sink with stepped pin-fins,Kim KY(corresponding author),"TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","Ansari Danish, Kim Kwang-Yong",359-380,Article,NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,MAR 19 2019,"Ansari Danish[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
3,3,188017,356,0,0,0,0,0,0,0,0,0,unknown--
4,4,188017,357,Performance evaluation of a converging-diverging film-cooling hole,Kim KY(corresponding author),"ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER, 65 RUE CAMILLE DESMOULINS, CS50083, 92442 ISSY-LES-MOULINEAUX, FRANCE","Kim Jun-Hee, Kim Kwang-Yong",295-304,Article,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,AUG 2019,"Kim Jun-Hee[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
5,5,188017,358,Evaluation of Rotor-Stator Interface Models for the Prediction of the Hydraulic and Suction Performance of a Centrifugal Pump,Kim KY(corresponding author),"ASME, TWO PARK AVE, NEW YORK, NY 10016-5990 USA","Shim Hyeon-Seok, Kim Kwang-Yong",111106,Article,JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,NOV 2019,"Shim Hyeon-Seok[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
6,6,188017,359,Shape optimization of a bended film-cooling hole to enhance cooling effectiveness,Kim KY(corresponding author),"JAPAN SOC MECHANICAL ENGINEERS, SHINANOMACHI-RENGAKAN BLDG., SHINANOMACHI 35, SHINJUKU-KU, TOKYO, 160-0016, JAPAN","Kim Jun-Hee, Kim Kwang-Yong",19-110,Article,JOURNAL OF THERMAL SCIENCE AND TECHNOLOGY,2019,"Kim Jun-Hee[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
7,7,188017,360,Effects of Non-axisymmetric Casing Grooves Combined with Airflow Injection on Stability Enhancement of an Axial Compressor,Kim KY(corresponding author),"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY","Dinh C. T., Kim K. Y.",283-296,Article,INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,AUG 2019,"Dinh C. T.[Inha Univ], Kim K. Y.[Inha Univ]",valid
8,8,188017,361,Multi-objective optimization of a flow straightener in a large capacity firefighting water cannon,Xiang QJ(corresponding author),"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA","Xiang Qing-jiang, Xue Lin, Kim Kwang-Yong, Shi Zhe-fu",137-144,Article,JOURNAL OF HYDRODYNAMICS,FEB 2019,"Kim Kwang-Yong[Inha Univ], Shi Zhe-fu[Jiangsu Univ]",valid
9,9,188017,362,0,0,0,0,0,0,0,0,0,unknown--
10,10,188017,363,Analysis of a Two-Layer Nozzle-and-Diffuser Electroosmotic Micromixer,Kim KY(corresponding author),"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Ahmed Faheem, Kim Kwang-Yong",2164-2170,Article; Proceedings Paper,CHEMICAL ENGINEERING & TECHNOLOGY,OCT 2019,"Ahmed Faheem[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
11,11,188017,364,Design and Verification of a Single-Channel Pump Model based on a Hybrid Optimization Technique,Kim JH(corresponding author),"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Kim Jin-Hyuk, Ma Sang-Bum, Kim Sung, Choi Young-Seok, Kim Kwang-Yong",747,Article,PROCESSES,OCT 2019,"Ma Sang-Bum[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
12,12,188017,365,Single and Multi-Objective Optimization of a Three-Dimensional Unbalanced Split-and-Recombine Micromixer,Kim KY(corresponding author),"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Raza Wasim, Ma Sang-Bum, Kim Kwang-Yong",711,Article,MICROMACHINES,OCT 2019,"Raza Wasim[Inha Univ], Ma Sang-Bum[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
13,13,188017,366,Effects of Bridge-Shaped Microchannel Geometry on the Performance of a Micro Laminar Flow Fuel Cell,Kim KY(corresponding author),"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Tanveer Muhammad, Kim Kwang-Yong",822,Article,MICROMACHINES,DEC 2019,"Tanveer Muhammad[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
14,14,188017,367,0,0,0,0,0,0,0,0,0,unknown--
15,15,188017,368,Asymmetrical Split-and-Recombine Micromixer with Baffles,Kim KY(corresponding author),"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Raza Wasim, Kim Kwang-Yong",844,Article,MICROMACHINES,DEC 2019,"Raza Wasim[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
16,16,188017,369,Integrated vortex micro T-mixer for rapid mixing of fluids,Min S(corresponding author),"KOREAN SOC MECHANICAL ENGINEERS, KSTC NEW BLD. 7TH FLOOR, 635-4 YEOKSAM-DONG KANGNAM-KU, SEOUL 135-703, SOUTH KOREA","Ansari Mubashshir Ahmad, Kim Kwang-Yong, Min Sun",5923-5931,Article,JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY,DEC 2019,"Ansari Mubashshir Ahmad[Aligarh Muslim Univ], Kim Kwang-Yong[Inha Univ], Min Sun[Inha Univ]",valid
17,17,188017,370,0,0,0,0,0,0,0,0,0,unknown--
18,18,188017,371,Effects of Installation Conditions of Fluidic Oscillators on Control of Flow Separation,Kim KY(corresponding author),"AMER INST AERONAUTICS ASTRONAUTICS, 1801 ALEXANDER BELL DRIVE, STE 500, RESTON, VA 22091-4344 USA","Kim Sang-Hyuk, Kim Kwang-Yong",5208-5219,Article,AIAA JOURNAL,DEC 2019,"Kim Sang-Hyuk[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
19,19,188065,271,Catalytic transfer hydrogenation of bio-based furfural by palladium supported on nitrogen-doped porous carbon,Ahn WS(corresponding author),"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Puthiaraj Pillaiyar, Kim Kyoungsoo, Ahn Wha-Seung",49-58,Article,CATALYSIS TODAY,MAR 1 2019,"Puthiaraj Pillaiyar[Inha Univ], Kim Kyoungsoo[Chonbuk Natl Univ], Ahn Wha-Seung[Inha Univ]",valid
